ÜRÜN BİLGİ FORMU EKSİK OLAN ÜRÜNLER LİSTESİ
Tarih: 28.08.2026
Toplam eksik: 526 ürün

Model               Ürün Adı
KDA712              KDA712 VENÜS LED APLİK
KDA715              KDA715 YATAK BAŞI LED APLİK
KDA738              KDA738 DEKORATİF LED APLİK
KDA742              KDA742 DEKORATİF LED APLİK
KDA743              KDA743 VENÜS LED APLİK
KDA751              KDA751 LED APLİK
KDA752              KDA752 LED APLİK
KDA753              KDA753 LED APLİK
KDA754              KDA754 LED APLİK
KDA756              KDA756 LED DIŞ MEKAN DUVAR ARMATÜRÜ
KDA757              KDA757 LED DIŞ MEKAN DUVAR ARMATÜRÜ
KDA759              KDA759 LED DUVAR APLİK
KDA820              KDA820 ZÜMRÜT AYNALI SPOT
KDA821              KDA821 ZÜMRÜT AYNALI SPOT
KDA822              KDA822 MERCAN SİYAH CAM SPOT
KDA823              KDA823 MERCAN SİYAH CAM SPOT
KDA824              KDA824 İNCİ ALÜMİNYUM SPOT
KDA825              KDA825 İNCİ ALÜMİNYUM SPOT
KDA827              KDA827 İNCİ ALÜMİNYUM SPOT
KDA828              KDA828 İNCİ ALÜMİNYUM SPOT
KDA829              KDA829 YUVARLAK PLASTİK SPOT
KDA830              KDA830 YUVARLAK PLASTİK SPOT
KDA831              KDA831 YUVARLAK PLASTİK SPOT
KDA834              KDA834 YUVARLAK PLASTİK SPOT
KDA835              KDA835 YUVARLAK PLASTİK SPOT
KDA836              KDA836 YUVARLAK PLASTİK SPOT
KDA837              KDA837 KARE PLASTİK SPOT
KDA838              KDA838 KARE PLASTİK SPOT
KDA839              KDA839 KARE PLASTİK SPOT
KDA840              KDA840 KARE PLASTİK SPOT
KDA841              KDA841 KARE PLASTİK SPOT
KDA842              KDA842 KARE PLASTİK SPOT
KDA843              KDA843 KARE PLASTİK SPOT
KDA844              KDA844 KARE PLASTİK SPOT
KDA845              KDA845 İNCİ ALÜMİNYUM SPOT
KDA846              KDA846 İNCİ ALÜMİNYUM SPOT
KDA847              KDA847 İNCİ ALÜMİNYUM SPOT (2'Lİ)
KDA848              KDA848 İNCİ ALÜMİNYUM SPOT (2'Lİ)
KDA849              KDA849 İNCİ ALÜMİNYUM SPOT (2'Lİ)
KDA850              KDA850 İNCİ ALÜMİNYUM SPOT (3'LÜ)
KDA851              KDA851 İNCİ ALÜMİNYUM SPOT (3'LÜ)
KDA852              KDA852 İNCİ ALÜMİNYUM SPOT (3'LÜ)
KDA853              KDA853 İNCİ ALÜMİNYUM SPOT (3'LÜ)
KDA854              KDA854 İNCİ ALÜMİNYUM SPOT
KDA855              KDA855 İNCİ ALÜMİNYUM SPOT (2'Lİ)
KDA856              KDA856 İNCİ ALÜMİNYUM SPOT
KDA857              KDA857 YAKUT SPOT
KDA858              KDA858 YAKUT SPOT
KDA859              KDA859 YAKUT SPOT
KDA860              KDA860 YAKUT SPOT
KDA862              KDA862 ARAS KARE SIVA ÜSTÜ SPOT
KDA863              KDA863 ARAS KARE SIVA ÜSTÜ SPOT
KDA865              KDA865 CEYHAN YUVARLAK SIVA ÜSTÜ SPOT
KDA866              KDA866 CEYHAN YUVARLAK SIVA ÜSTÜ SPOT
KDA868              KDA868 CEYHAN YUVARLAK SIVA ÜSTÜ SPOT
KDA869              KDA869 ÇİFT YÖNLÜ DUVAR APLİĞİ
KDA870              KDA870 NİL SPOT
KDA871              KDA871 NİL SPOT
KDA876              KDA876 DİCLE SPOT
KDA877              KDA877 DİCLE SPOT
KDA878              KDA878 DİCLE SPOT
KDA879              KDA879 DİCLE SPOT
KDA880              KDA880 DİCLE SPOT
KDA881              KDA881 DİCLE SPOT
KDA882              KDA882 DİCLE SPOT
KDA883              KDA883 DİCLE SPOT
KDA890              KDA890 SIVA ALTI ALÜMİNYUM SPOT
KDA891              KDA891 SIVA ALTI ALÜMİNYUM SPOT
KDA892              KDA892 SIVA ALTI ALÜMİNYUM SPOT
KDA893              KDA893 SIVA ALTI ALÜMİNYUM SPOT
KDA910              KDA910 Fırat Kare Sıva Üstü Spot
KDA911              KDA911 Fırat Kare Sıva Üstü Spot
KDA912              KDA912 Fırat Kare Sıva Üstü Spot
KDA913              KDA913 Fırat Kare Sıva Üstü Spot
KDA914              KDA914 Fırat Yuvarlak Sıva Üstü Spot
KDA915              KDA915 Fırat Yuvarlak Sıva Üstü Spot
KDA916              KDA916 Fırat Yuvarlak Sıva Üstü Spot
KDA917              KDA917 Fırat Yuvarlak Sıva Üstü Spot
KDB271A             KDB271A UZAKTAN KUMANDALI ZİL
KDB271B             KDB271B UZAKTAN KUMANDALI ZİL
KDB271C32KMZIL      KDB271C Uzaktan Kum. Zil
KDB271D32KMZIL      KDB271D Uzaktan Kum. Zil
KDB271E             KDB271E UZAKTAN KUMANDALI ZİL
KDB271F             KDB271F UZAKTAN KUMANDALI ZİL
KDL052              KDL052 SIVA ALTI BACKLİGHT PANEL
KDL053              KDL053 SIVA ALTI BACKLİGHT PANEL
KDL055              KDL055 SIVA ALTI BACKLİGHT PANEL
KDL057              KDL057 SIVA ALTI BACKLİGHT PANEL
KDL058              KDL058 SIVA ALTI BACKLİGHT PANEL
KDL059              KDL059 SIVA ALTI BACKLİGHT PANEL
KDL062              KDL062 SIVA ÜSTÜ BACKLİGHT PANEL
KDL082              KDL082 SIVA ÜSTÜ BACKLİGHT PANEL
KDL110              KDL110 LED SPOT
KDL400-6WARARENK    KDL400 SIVA ALTI SLİM LED PANEL
KDL400-6WBEYAZ      KDL400 SIVA ALTI SLİM LED PANEL
KDL400-6WGNISK      KDL400 SIVA ALTI SLİM LED PANEL
KDL400B             KDL400B SIVA ALTI SİYAH KASA SLİM LED PANEL
KDL40112WARARENK    KDL401 SIVA ALTI SLİM LED PANEL
KDL40112WBEYAZ      KDL401 SIVA ALTI SLİM LED PANEL
KDL40112WGNISK      KDL401 SIVA ALTI SLİM LED PANEL
KDL401B             KDL401B SIVA ALTI SİYAH KASA SLİM LED PANEL
KDL401S             KDL401S SIVA ALTI SATEN KASA SLİM LED PANEL
KDL40216WARARENK    KDL402 SIVA ALTI SLİM LED PANEL
KDL40216WBEYAZ      KDL402 SIVA ALTI SLİM LED PANEL
KDL40216WGNISK      KDL402 SIVA ALTI SLİM LED PANEL
KDL402B             KDL402B SIVA ALTI SİYAH KASA SLİM LED PANEL
KDL402S             KDL402S SIVA ALTI SATEN KASA SLİM LED PANEL
KDL40318WARARENK    KDL403 SIVA ALTI SLİM LED PANEL
KDL40318WBEYAZ      KDL403 SIVA ALTI SLİM LED PANEL
KDL40318WGNISK      KDL403 SIVA ALTI SLİM LED PANEL
KDL403B             KDL403B SIVA ALTI SİYAH KASA SLİM LED PANEL
KDL403S             KDL403S SIVA ALTI SATEN KASA SLİM LED PANEL
KDL405-9WARARENK    KDL405 SIVA ALTI SLİM LED PANEL
KDL405-9WBEYAZ      KDL405 SIVA ALTI SLİM LED PANEL
KDL405-9WGNISK      KDL405 SIVA ALTI SLİM LED PANEL
KDL409              KDL409 SLİM KARE LED PANEL
KDL411              KDL411 SLİM KARE LED PANEL
KDL412              KDL412 SLİM KARE LED PANEL
KDL413              KDL413 SLİM KARE LED PANEL
KDL414              KDL414 30X30 CLİP-İN SLİM PANEL
KDL421              KDL421 SIVA ÜSTÜ YUVARLAK LED PANEL
KDL421B             KDL421B SIVA ÜSTÜ YUVARLAK LED PANEL
KDL422              KDL422 SIVA ÜSTÜ YUVARLAK LED PANEL
KDL422B             KDL422B SIVA ÜSTÜ YUVARLAK LED PANEL
KDL431              KDL431 SIVA ÜSTÜ KARE LED PANEL
KDL431B             KDL431B SIVA ÜSTÜ KARE LED PANEL
KDL432              KDL432 SIVA ÜSTÜ KARE LED PANEL
KDL432B             KDL432B SIVA ÜSTÜ KARE LED PANEL
KDL441              KDL441 SIVA ALTI ÇİFT RENKLİ 3 FONKSİYONLU LED PANEL
KDL442              KDL442 SIVA ALTI ÇİFT RENKLİ 3 FONKSİYONLU LED PANEL
KDL486              KDL486 SLİM BACKLİGHT ÇERÇEVELİ PANEL
KDL487              KDL487 SLİM BACKLİGHT ÇERÇEVELİ PANEL
KDL648              KDL648 ÇİFT RENKLİ OVAL GLOP ARMATÜR
KED001              KED001 ACİL AYDINLATMA DRIVER
KEL00624LEDKRM      KEL006 24 Ledli El Feneri Sarı
KEL008-4LEDSRI      KEL008 4 Ledli El Feneri Sarı
KEL009-7LEDSRI      KEL009 7 Ledli El Feneri Sarı
KEL010              KEL010 LED KAMP VE EL FENERİ
KEL011-5LEDFEN      KEL011 5 LED Sarzlı El Feneri
KEL01216LEDFEN      KEL012 16 LED Sarzlı El Feneri
KEL014              KEL014 BATARYALI IŞILDAK
KEL015              KEL015 LED KAMP VE EL FENERİ
KEL016              KEL016 ACİL AYDINLATMA
KEL017              KEL017 ACİL AYDINLATMA
KEL14               KEL14 3W LED Gece Lambası
KEL180              KEL180 BATARYALI IŞILDAK
KEL255              KEL255 LEDLİ IŞILDAK
KEL258              KEL258 LEDLİ IŞILDAK
KEL259              KEL259 LEDLİ IŞILDAK
KEL273L             KEL273L LEDLİ IŞILDAK
KEL276L             KEL276L LEDLİ IŞILDAK
KEL278L             KEL278L LEDLİ IŞILDAK
KES001              KES001 G4 DUY LEDLİ AMPUL
KES003              KES003 BUZDOLABI AMPULÜ
KES006              KES006 G4 DUY LEDLİ AMPUL
KES007              KES007 G4 DUY LEDLİ AMPUL
KES008              KES008 G4 DUY LEDLİ AMPUL
KES010              KES010 G9 DUY LEDLİ AMPUL
KES016              KES016 G9 DUY LEDLİ AMPUL - DİM
KES021              KES021 BUZDOLABI AMPULÜ
KES022              KES022 G4 DUY LEDLİ AMPUL
KES054              KES054 KABLOLU LED SPOT AMPUL (LENSLİ)
KES075              KES075 TAŞINABİLİR LED LAMBA
KES076              KES076 TAŞINABİLİR LED LAMBA
KES078              KES078 Şarjlı Fenerli LED Ampul
KES104              KES104 G4 DUY LEDLİ AMPUL
KES110              KES110 G9 DUY LEDLİ AMPUL
KES112              KES112 G4 DUY LEDLİ AMPUL - DİM
KES119              KES119 RENKLİ LED AMPUL
KES300              KES300 LEDLİ RGB AMPUL
KES301              KES301 LEDLİ RGB AKILLI AMPUL
KES302              KES302 LEDLİ RGB AKILLI AMPUL
KES400              KES400 LEDLİ UFO AMPUL
KES401              KES401 LEDLİ UFO AMPUL
KES402              KES402 LEDLİ UFO AMPUL
KES403              KES403 LEDLİ UFO AMPUL
KES460              KES460 LEDLİ ALEV AMPUL
KES472              KES472 FANLI LED AMPUL
KES475              KES475 LED KÜRE AMPUL
KES476              KES476 ISITICILI LED AMPUL
KES477              KES477 LED PERVANE AMPUL
KES478              KES478 GİZLİ KANATLI LED AMPUL
KES620              KES620 LED FLAMANLI AMPUL (A60) - DİM
KES621              KES621 LED FLAMANLI AMPUL (A60) - DİM
KES700              KES700 DIŞ MEKAN E27 5'Lİ DUY SET
KES701              KES701 DIŞ MEKAN E27 20'Lİ DUY SET
KES800              KES800 Kristal Avize Armatür / Ampul - Kristal Papatya
KES801              KES801 4’lü Yuvarlak Kristal Avize Ampul / Kristal Yonca
KES802              KES802 4’lü Kare Kristal Avize Ampul / Kristal Zambak
KFS1066AFOTOSL      KFS106 Fotosel 6a
KFS11010AFOTSL      KFS110 Fotosel 10a
KFS12525AFOTSL      KFS125 Fotosel 25a
KHL001              KHL001 LED KAFA LAMBASI
KHL005              KHL005 LED KAFA LAMBASI
KHL006              KHL006 LED KAFA LAMBASI
KHL007              KHL007 LED KAFA LAMBASI
KKC106              KKC106 KABLO
KKC107              KKC107 KABLO
KKC108              KKC108 KABLO
KKP285A             KKP285A SİNEK ÖLDÜRÜCÜ ARMATÜR
KKP285B             KKP285B SİNEK ÖLDÜRÜCÜ ARMATÜR
KKP285C             KKP285C SİNEK ÖLDÜRÜCÜ ARMATÜR
KKP301              KKP301 SİNEK ÖLDÜRÜCÜ ARMATÜR
KKP302              KKP302 SİNEK ÖLDÜRÜCÜ ARMATÜR
KKS103              KKS103 KUMANDALI KABİN SPOTU
KKS104              KKS104 KUMANDALI KABİN SPOTU
KLD020              KLD020 FİŞLİ ADAPTÖR
KLD021              KLD021 FİŞLİ ADAPTÖR
KLD022              KLD022 FİŞLİ ADAPTÖR
KLD023              KLD023 MİNİ LED DRİVER
KLD024              KLD024 MİNİ LED DRİVER
KLD025              KLD025 MİNİ LED DRİVER
KLD030              KLD030 MAGNET DRIVER
KLD031              KLD031 MAGNET DRIVER
KLD041              KLD041 ECO ULTRA SLIM LED TRAFO
KLD042              KLD042 ECO ULTRA SLIM LED TRAFO
KLD043              KLD043 ECO ULTRA SLIM LED TRAFO
KLD044              KLD044 ECO ULTRA SLIM LED TRAFO
KLD045              KLD045 ECO ULTRA SLIM LED TRAFO
KLD102              KLD102 UZAKTAN KUMANDALI RGB LED KONTROL PANELİ
KLD103              KLD103 3 KANALLI KUMANDA
KLD106              KLD106 UZAKTAN KUMANDALI RGB LED KONTROL PANELİ
KLD108              KLD108 6 Kanallı Avize Kumandası
KLD110              KLD110 3 KANALLI AVİZE KUMANDASI
KLD111              KLD111 4 KANALLI AVİZE KUMANDASI
KLD112              KLD112 6 KANALLI AVİZE KUMANDASI
KLD150B             KLD150B SLIM LED TRAFO
KLD200B             KLD200B SLIM LED TRAFO
KLD250B             KLD250B SLIM LED TRAFO
KLD60               KLD60 60W Ultra Slim Adaptörler
KLF160B             KLF160B LEDLİ SENSÖRLÜ PROJEKTÖR
KLF181              KLF181 VENEDİK SMD LEDLİ PROJEKTÖR
KLF182              KLF182 VENEDİK SMD LEDLİ PROJEKTÖR
KLF191              KLF191 PARİS SMD LEDLİ PROJEKTÖR
KLF192              KLF192 PARİS SMD LEDLİ PROJEKTÖR
KLF195              KLF195 PARİS SMD LEDLİ PROJEKTÖR
KLF196              KLF196 PARİS SMD LEDLİ PROJEKTÖR
KLF2100             KLF2100 LED PROJEKTÖR
KLF2150             KLF2150 LED PROJEKTÖR
KLF2200             KLF2200 LED PROJEKTÖR
KLF2300             KLF2300 LED PROJEKTÖR
KLF612              KLF612 VİYANA SMD LEDLİ PROJEKTÖR
KLF613              KLF613 VİYANA SMD LEDLİ PROJEKTÖR
KLH118              KLH118 Seramik Duy
KLH118A             KLH118A Seramik Duy
KLH121              KLH121 SERAMİK DUY
KLH122              KLH122 SERAMİK DUY
KLS923              KLS923 SMD LEDLİ SPOT
KLS923              KLS923 SMD LEDLİ SPOT
KLS923              KLS923 SMD LEDLİ SPOT
KM1109              KM1109 3 Fonksiyonlu Şarj Edilebilir Masa Lambası
KML115              KML115 3 FONKSİYONLU MASA LAMBASI
KML116              KML116 3 FONKSİYONLU MASA LAMBASI
KML117C             KML117C 3 FONKSİYONLU MASA LAMBASI
KML117E             KML117E 3 FONKSİYONLU MASA LAMBASI
KML121              KML121 MUMLU MASA LAMBASI
KML122              KML122 3'LÜ MUM SET MASA LAMBASI
KML123              KML123 3 FONKSİYONLU MASA LAMBASI
KML401              KML401 RGB FONKSİYONLU MASA LAMBASI
KMS100              KMS100 RADAR SENSÖR
KNL380              KNL380 RENKLİ GECE AMPULÜ
KNL381              KNL381 RENKLİ PRİZ TİPİ GECE AMPULÜ
KRS101              KRS101 MONOFAZE RAY
KRS102              KRS102 MONOFAZE RAY
KRS103              KRS103 MONOFAZE RAY
KRS104              KRS104 MONOFAZE RAY APARATI
KRS104              KRS104 MONOFAZE RAY APARATI
KRS105              KRS105 MONOFAZE RAY APARATI
KRS105              KRS105 MONOFAZE RAY APARATI
KRS108              KRS108 MONOFAZE RAY APARATI
KRS108              KRS108 MONOFAZE RAY APARATI
KRS109              KRS109 MONOFAZE RAY APARATI
KRS109              KRS109 MONOFAZE RAY APARATI
KRS111              KRS111 MONOFAZE RAY
KRS112              KRS112 MONOFAZE RAY
KRS113              KRS113 MONOFAZE RAY
KRS114              KRS114 MONOFAZE RAY APARATI
KRS131              KRS131 MAGNET RAY
KRS131B             KRS131B MAGNET MONTAJ APARATI
KRS131L             KRS131L MAGNET DÖNÜŞ APARATI
KRS132              KRS132 MAGNET RAY
KRS132L             KRS132L MAGNET DÖNÜŞ APARATI
KRS133              KRS133 MAGNET RAY
KRS134              KRS134 MAGNET MONTAJ APARATI
KRS135              KRS135 ASKI APARAT TAKIMI
KRS136              KRS136 ALÇIPAN APARATI
KRS137              KRS137 2 PİNLİ İLETKEN MODÜL
KRS137D             KRS137D 4 PİNLİ İLETKEN MODÜL
KRS138              KRS138 2 PİNLİ İLETKEN MODÜL
KRS138D             KRS138D 4 PİNLİ İLETKEN MODÜL
KRS139              KRS139 2 PİNLİ İLETKEN MODÜL
KRS139D             KRS139D 4 PİNLİ İLETKEN MODÜL
KSA177              KSA177 360° HAREKET SENSÖRÜ
KSA178              KSA178 180° HAREKET SENSÖRÜ
KSA179              KSA179 180° HAREKET SENSÖRÜ
KSA181              KSA181 360° HAREKET SENSÖRÜ
KSA183              KSA183 360° MİNİ HAREKET SENSÖRÜ
KSA186              KSA186 SENSÖRLÜ TAVAN ARMATÜRÜ
KSA187              KSA187 SENSÖRLÜ TAVAN ARMATÜRÜ
KSA188              KSA188 LEDLİ SENSÖRLÜ TAVAN ARMATÜRÜ
KSA189              KSA189 LEDLİ SENSÖRLÜ TAVAN ARMATÜRÜ
KSA190              KSA190 PIR SENSÖRLÜ TAVAN ARMATÜRÜ
KSA191              KSA191 PIR SENSÖRLÜ TAVAN ARMATÜRÜ
KSA192              KSA192 DUVAR SENSÖRLÜ ARMATÜR
KSA193              KSA193 DUVAR SENSÖRLÜ ARMATÜR
KSC002              KSC002 ÇOK AMAÇLI KLEMENS
KSC003              KSC003 ÇOK AMAÇLI KLEMENS
KSC004              KSC004 ÇOK AMAÇLI KLEMENS
KSC005              KSC005 ÇOK AMAÇLI KLEMENS
KSCYL2825           Kscyl2825 (80x100x120) 430W Kare Saturn Çift Yönlü Lınear
KSD001H             KSD001H DUMAN DEDEKTÖRÜ
KSL-SNAG2           Ksl-snag2(35x145) 65W Hıgh Mercekli Snag Lınear
KSL-SNAG3           Ksl-snag3(50x240) 95W Hıgh Mercekli Snag Soft Lınear
KSL099              KSL099 ÇİFT YÖNLÜ DUVAR APLİĞİ
KSL105KS            KSL105KS (105x105) 100W Hıgh Kare Mercekli COB Spot Lınear
KSL153              KSL153 LED PANO APLİK
KSL154              KSL154 LED PANO APLİK
KSL160              KSL160 LED PANO APLİK
KSL175              KSL175 YATAK BAŞI APLİK
KSL176              KSL176 YATAK BAŞI APLİK
KSL177              KSL177 YATAK BAŞI APLİK
KSL178              KSL178 2 Usb Li Yatak Başı LED Aplik
KSL2061             KSL2061 (14cm) 5W Sıva Altı Hıgh Power Lınear Mercekli
KSL2062             KSL2062 (28cm) 10W Sıva Altı Hıgh Power Lınear Mercekli
KSL2063             KSL2063 (66cm) 25W Sıva Altı Hıgh Power Lınear Mercekli
KSL2064             KSL2064 (105cm) 40W Sıva Altı Hıgh Power Lınear Mercekli
KSL2065             KSL2065 (118cm) 45W Sıva Altı Hıgh Power Lınear Mercekli
KSL2071             KSL2071 (66cm) 23W Sıva Altı Hıgh Power Lınear Mercekli
KSL2072             KSL2072 (120cm) 40W Sıva Altı Hıgh Power Lınear Mercekli
KSL2073             KSL2073 (173cm) 60W Sıva Altı Hıgh Power Lınear Mercekli
KSL2074             KSL2074 (225cm) 75W Sıva Altı Hıgh Power Lınear Mercekli
